SampleID	Treatment	Sex	Tissue	Replicate	Batch	raw	trimmed	proper_pair	mitochondrial	duplicates	clean	cut_sites	cut_sites_in_peak	frip
ATAC_livCDf2_231210	Ctrl	F	Liver	1	B3	61524385	61484911	58931847	1411187	13647708	44754449	68213718	26644138	0.390597943950218
ATAC_livCDf3_231210	Ctrl	F	Liver	1	B3	59484920	59450432	57495670	948988	9987865	47077297	44047324	19241308	0.43683262120532
ATAC_livCDf4_231210	Ctrl	F	Liver	1	B3	60374239	60343167	58155825	1744663	12854339	44752996	61815632	27663619	0.447518177926257
ATAC_livCDf5_231210	Ctrl	F	Liver	1	B3	60932889	60900018	58449812	1383406	16509352	41471378	63225450	27727981	0.438557274009121
ATAC_livCDf6_231210	Ctrl	F	Liver	1	B3	57936036	57898282	55548077	1992944	10549839	44337151	62985868	28244662	0.448428558609369
ATAC_livCDm1_231030	Ctrl	M	Liver	1	B1	51976196	51952276	49763305	1437104	9536846	39733997	36945448	15507271	0.419734279578908
ATAC_livCDm2_231030	Ctrl	M	Liver	1	B1	46617092	46587938	44457928	1175934	6980596	37044825	42912150	18749260	0.436921944018186
ATAC_livCDm3_231030	Ctrl	M	Liver	1	B1	53421014	53396115	51284802	1987493	9052545	41634948	53778636	22980597	0.427318331390926
ATAC_livCDm4_231030	Ctrl	M	Liver	1	B1	85150493	85115832	80785812	2266201	25503966	54775858	26781876	10875592	0.406080291014715
ATAC_livCDm5_231030	Ctrl	M	Liver	1	B1	70672463	70645608	67596548	1556795	14380641	52757459	65282138	21573747	0.33046936973786
ATAC_livFDf5_231210	Fuco	F	Liver	1	B3	52830948	52803110	51091484	881140	7102590	43618346	76751920	32041478	0.417468097215027
ATAC_livFDf6_231210	Fuco	F	Liver	1	B3	40621650	40600773	39340762	1395957	5057902	33810124	63238790	22891430	0.361983997480028
ATAC_livFDf7_231210	Fuco	F	Liver	1	B3	46911314	46889000	45300475	1357067	7221949	37622238	57032354	25880455	0.453785495159467
ATAC_livFDf8_231210	Fuco	F	Liver	1	B3	53663809	53636156	51546582	1488466	8440628	42589488	31619746	13306324	0.420823241274614
ATAC_livFDf9_231210	Fuco	F	Liver	1	B3	51290255	51243082	48628383	1341208	5369597	42747455	42849350	17358860	0.405113729846544
ATAC_livFDm1_231030	Fuco	M	Liver	1	B1	48375825	48349324	46255660	675563	5951519	40003611	40862064	17657239	0.432118137742626
ATAC_livFDm2_231030	Fuco	M	Liver	1	B1	34724598	34707852	33209898	656763	4584063	28336199	33840906	13663335	0.403752044936386
ATAC_livFDm3_231030	Fuco	M	Liver	1	B1	55412839	55384496	52757720	1152249	9285875	43051102	56607726	22089569	0.390221804705598
ATAC_livFDm4_231030	Fuco	M	Liver	1	B1	47825110	47801030	45376322	672117	5843836	39235555	65882858	26964421	0.409278252622253
ATAC_livFDm5_231030	Fuco	M	Liver	1	B1	52586253	52565211	50616704	976391	7453877	42786802	48163096	20204253	0.41949655811163
ATAC_lunCDf1_231210	Ctrl	F	Lung	1	B3	56758521	56728268	53954762	695141	19570531	34106859	77430394	30006182	0.387524594024409
ATAC_lunCDf2_231210	Ctrl	F	Lung	1	B3	44155331	44136508	42020580	1070801	19681872	22023662	63763940	27946760	0.438284710762854
ATAC_lunCDf3_231210	Ctrl	F	Lung	1	B3	47503617	47479787	45280752	938917	14006577	30907816	70284490	31090878	0.442357595537792
ATAC_lunCDf6_231210	Ctrl	F	Lung	1	B3	52918142	52892426	50532047	1140105	18536185	31612725	64813196	29925524	0.46171961648057
ATAC_lunCDf9_231210	Ctrl	F	Lung	1	B3	57828203	57801790	55111390	1149141	23257526	31492934	79039538	37948229	0.480117039651725
ATAC_lunCDm1_231115	Ctrl	M	Lung	1	B2	124905867	124856090	112800474	2822700	73909922	38375960	55703110	29903115	0.536830259567195
ATAC_lunCDm1_231119	Ctrl	M	Lung	2	B2	43951538	43923079	42197691	785932	10275628	31619395	59771896	26072999	0.4362083310859
ATAC_lunCDm2_231115	Ctrl	M	Lung	1	B2	69642188	69617292	63364630	1166045	34528664	28516177	80952088	37683877	0.465508400475106
ATAC_lunCDm3_231115	Ctrl	M	Lung	1	B2	43424427	43404238	39101495	1255364	22972661	15809873	77486590	41619507	0.537118835659177
ATAC_lunCDm4_231115	Ctrl	M	Lung	1	B2	46243688	46224643	42956534	1234671	21181252	21424675	67321532	32017565	0.475591746783184
ATAC_lunFDf4_231210	Fuco	F	Lung	1	B3	52432614	52407498	50519671	639372	11519367	38715197	41114708	19372446	0.47118043499178
ATAC_lunFDf6_231210	Fuco	F	Lung	1	B3	49025241	49000402	46712384	953200	14462073	31881970	124992434	62113129	0.496935110488368
ATAC_lunFDf7_231210	Fuco	F	Lung	1	B3	53810183	53784639	51439186	986951	15928714	35142245	84078072	42643477	0.507189044487129
ATAC_lunFDf8_231210	Fuco	F	Lung	1	B3	64803869	64761835	61389053	2074418	28418402	32406598	75472408	34679121	0.459494031249142
ATAC_lunFDf9_231210	Fuco	F	Lung	1	B3	67251208	67222704	64188124	1293926	24274937	39519769	81020562	33146783	0.409115688434746
ATAC_lunFDm1_231115	Fuco	M	Lung	1	B2	51574619	51551334	47165046	1055293	26323881	20557354	57706146	27478976	0.476188030300967
ATAC_lunFDm2_231115	Fuco	M	Lung	1	B2	248860276	248764531	229674303	5734821	166487243	62496217	77895390	35466865	0.455314043616702
ATAC_lunFDm3_231115	Fuco	M	Lung	1	B2	107368248	107327156	98196267	1735382	55757862	42039036	44518160	22984189	0.516287937327149
ATAC_lunFDm4_231115	Fuco	M	Lung	1	B2	141091338	141043670	128644127	1617932	90580531	37736204	46047560	21658268	0.470345616575558
ATAC_lunFDm5_231119	Fuco	M	Lung	1	B2	64217551	64179269	61781772	1004816	20946304	40510281	68706662	31632068	0.460393025642841
